id,make,model,type,country,engine,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,Acura,ZDX,-,Japan/USA,Electric (500HP),-,-,-,-,-,-,-,-,"50,000","55,000"
,,,,,,,,,,,,,,,"34,843"
2,Acura,Integra,-,Japan/USA,1500,-,-,-,-,-,-,-,"24,000","27,000","30,000"
,,,,,,,,,,,,,"29,460","33,143","36,825"
3,Acura,RDX/ TLX,-,Japan/USA,2000,-,-,-,-,-,"24,000","27,000","30,000","33,000","35,000"
,,,,,,,,,,,,,"36,825","40,508","42,963"
4,Acura,TLX,-,Japan/USA,2400,-,-,-,-,-,"24,000","27,000","30,000","33,000","35,000"
,,,,,,,,,,,,,"36,825","40,508","42,963"
5,Acura,TLX/ MDX/ RLX,-,Japan/USA,3500,-,-,-,-,-,"31,000","34,000","37,000","40,000","43,000"
,,,,,,,,,,,"40,354","44,260","48,165","52,070","55,975"
6,Aston Martin,Vantage,Coupe/ Roadster,USA/EU,4000,"34,400","45,300","56,200","67,100","78,000","85,000","95,000","105,000","118,000","128,000"
,,,,,,"44,780","58,969","73,158","87,347","101,537","110,649","123,666","136,684","153,607","166,624"
7,Aston Martin,DBX/ DBX707,-,USA/EU,4000,"35,800","48,100","60,400","72,700","85,000","95,000","105,000","120,000","133,000","148,000"
,,,,,,"46,603","62,614","78,626","94,637","110,649","123,666","136,684","156,210","173,133","192,659"
8,Aston Martin,DB11/ DB12,Coupe/ Volante,USA/EU,4000,"36,000","48,500","61,000","73,500","86,000","95,000","105,000","120,000","135,000","150,000"
,,,,,,"46,863","63,135","79,407","95,679","111,951","123,666","136,684","156,210","175,736","195,263"
9,Aston Martin,DB11/ DB12,Coupe/ Volante,USA/EU,5200,"80,000","90,000","100,000","110,000","120,000","135,000","150,000","160,000","185,000","195,000"
,,,,,,"104,140","117,158","130,175","143,193","156,210","175,736","195,263","208,280","240,824","253,841"
10,Aston Martin,DBS/ Vantage,Coupe/ Volante,USA/EU,5200,"71,320","90,980","110,640","130,300","150,000","165,000","180,000","210,000","240,000","250,000"
,,,,,,"92,841","118,433","144,026","169,618","195,263","214,789","234,315","273,368","312,420","325,438"
11,Audi,Q4 e-tron,-,China,Electric,-,-,-,-,-,-,"35,000","34,000","37,000","40,000"
,,,,,,,,,,,,"22,173","21,539","23,440","25,340"
12,Audi,Q5 e-tron,-,China,Electric,-,-,-,-,-,-,-,"47,000","51,000","55,000"
,,,,,,,,,,,,,"29,775","32,309","34,843"
13,Audi,E-tron,-,USA/EU,Electric,-,-,-,-,-,-,"46,000","50,000","54,000","58,000"
,,,,,,,,,,,,"29,141","31,675","34,209","36,743"
14,Audi,E-tron,S,USA/EU,Electric,-,-,-,-,-,-,"65,000","70,000","75,000","80,000"
,,,,,,,,,,,,"41,178","44,345","47,513","50,680"
15,Audi,E-tron,GT,USA/EU,Electric,-,-,-,-,-,-,"75,000","80,000","85,000","90,000"
,,,,,,,,,,,,"47,513","50,680","53,848","57,015"
16,Audi,RS e-tron,GT,USA/EU,Electric,-,-,-,-,-,-,"105,000","115,000","125,000","135,000"
,,,,,,,,,,,,"66,518","72,853","79,188","85,523"
17,Audi,Q2/ Q3,-,USA/EU,1000,-,-,-,-,"15,000","17,000","19,000","21,000","23,000","25,000"
,,,,,,,,,,"11,730","13,294","14,858","16,422","17,986","19,550"
18,Audi,Q2/ Q3,-,USA/EU,1400,"11,000","12,500","14,000","16,000","18,000","19,000","20,000","22,000","24,000","26,000"
,,,,,,"13,503","15,344","17,185","19,640","22,095","23,323","24,550","27,005","29,460","31,915"
19,Audi,A3/ A4/ A5/ Q3/ Q5,-,USA/EU,2000,"17,000","19,000","21,000","23,000","26,000","28,000","30,000","32,000","34,000","36,000"
,,,,,,"20,868","23,323","25,778","28,233","31,915","34,370","36,825","39,280","41,735","44,190"
20,Audi,S3/ S4,-,USA/EU,2000,-,-,-,-,"28,000","31,000","34,000","36,000","38,000","40,000"
,,,,,,,,,,"34,370","38,053","41,735","44,190","46,645","49,100"
21,Audi,A6/ Q7/ S5/ TT/ TTS,-,USA/EU,2000,"18,000","21,000","24,000","27,000","31,000","34,000","37,000","40,000","43,000","46,000"
,,,,,,"22,095","25,778","29,460","33,143","38,053","41,735","45,418","49,100","52,783","56,465"
22,Audi,RS 3,-,USA/EU,2500,"21,000","24,000","27,000","30,000","34,000","37,000","40,000","43,000","46,000","48,000"
,,,,,,"25,778","29,460","33,143","36,825","41,735","45,418","49,100","52,783","56,465","58,920"
23,Audi,RS 5/ S6/ S7,-,USA/EU,2900,"29,000","33,000","37,000","41,000","45,000","49,000","53,000","57,000","61,000","65,000"
,,,,,,"35,598","40,508","45,418","50,328","55,238","60,148","65,058","69,968","74,878","79,788"
24,Audi,S4/ S5/ SQ5,-,USA/EU,3000,"20,000","22,000","25,000","28,000","31,000","34,000","37,000","40,000","43,000","46,000"
,,,,,,"24,550","27,005","30,688","34,370","38,053","41,735","45,418","49,100","52,783","56,465"
25,Audi,Q7/ A6,-,USA/EU,3000,"25,000","28,000","31,000","34,000","37,000","40,000","43,000","46,000","49,000","52,000"
,,,,,,"30,688","34,370","38,053","41,735","45,418","49,100","52,783","56,465","60,148","63,830"
26,Audi,A7/ Q8/ S5,-,USA/EU,3000,"30,000","33,000","36,000","39,000","43,000","47,000","50,000","53,000","56,000","59,000"
,,,,,,"36,825","40,508","44,190","47,873","52,783","57,693","61,375","65,058","68,740","72,423"
27,Audi,A8/ A8 L,-,USA/EU,3000,"32,000","36,000","40,000","44,000","48,000","52,000","57,000","62,000","66,000","70,000"
,,,,,,"39,280","44,190","49,100","54,010","58,920","63,830","69,968","76,105","81,015","85,925"
28,Audi,SQ7/ SQ8,-,USA/EU,4000,"34,000","38,000","42,000","47,000","52,000","57,000","62,000","67,000","72,000","77,000"
,,,,,,"44,260","49,467","54,674","61,182","67,691","74,200","80,709","87,217","93,726","100,235"
29,Audi,A8 L/ RS 6,-,USA/EU,4000,"40,000","45,000","50,000","55,000","60,000","66,000","72,000","78,000","84,000","90,000"
,,,,,,"52,070","58,579","65,088","71,596","78,105","85,916","93,726","101,537","109,347","117,158"
30,Audi,S8/ RS 7/ RS Q8,-,USA/EU,4000,"33,800","44,100","54,400","64,700","75,000","80,000","85,000","90,000","97,000","103,000"
,,,,,,"43,999","57,407","70,815","84,223","97,631","104,140","110,649","117,158","126,270","134,080"
31,Bentley,"Bentayga/ 
Continental/",-,USA/EU,2.9l/3.0l,"30,260","42,440","54,620","66,800","79,000","87,000","95,000","110,000","130,000","145,000"
,,,,,,"37,144","52,095","67,046","81,997","96,973","106,793","116,613","135,025","159,575","177,988"
32,Bentley,"Bentayga/ 
Continental/",-,USA/EU,4000,"36,200","48,900","61,600","74,300","87,000","95,000","105,000","125,000","150,000","160,000"
,,,,,,"47,123","63,656","80,188","96,720","113,252","123,666","136,684","162,719","195,263","208,280"
33,Bentley,Flying Spur,-,USA/EU,6000,"80,000","90,000","105,000","115,000","125,000","135,000","145,000","160,000","180,000","195,000"
,,,,,,"104,140","117,158","136,684","149,701","162,719","175,736","188,754","208,280","234,315","253,841"
34,Bentley,Bentayga/,-,USA/EU,6000,"85,000","95,000","110,000","120,000","130,000","140,000","150,000","170,000","195,000","215,000"
,,Continental,,,,"110,649","123,666","143,193","156,210","169,228","182,245","195,263","221,298","253,841","279,876"
